h2s,tz=0,v=1.5
time,h2s,so2
1681638000,8.450e-01,NaN
1681638060,8.260e-01,NaN
1681638120,8.160e-01,NaN
1681638180,8.220e-01,NaN
1681638240,8.190e-01,NaN
1681638300,8.090e-01,NaN
1681638480,NaN,2.000e-01
1681638540,NaN,2.000e-01
1681638600,NaN,2.000e-01
1681638660,NaN,2.000e-01
1681638720,NaN,2.000e-01
1681638780,NaN,2.000e-01
1681638840,NaN,2.000e-01
1681639080,7.950e-01,NaN
1681639140,7.610e-01,NaN
1681639200,7.190e-01,NaN
1681639260,6.960e-01,NaN
1681639320,7.040e-01,NaN
1681639380,6.800e-01,NaN
1681639440,6.780e-01,NaN
1681639500,6.800e-01,NaN
1681639680,NaN,2.000e-01
1681639740,NaN,2.000e-01
1681639800,NaN,2.000e-01
1681639860,NaN,2.000e-01
1681639920,NaN,2.000e-01
1681639980,NaN,2.000e-01
1681640040,NaN,2.000e-01
1681640100,NaN,2.000e-01
1681640280,6.650e-01,NaN
1681640340,6.260e-01,NaN
1681640400,6.210e-01,NaN
1681640460,6.330e-01,NaN
1681640520,6.190e-01,NaN
1681640580,6.140e-01,NaN
1681640640,6.070e-01,NaN
1681640700,5.900e-01,NaN
1681640880,NaN,2.000e-01
1681640940,NaN,2.000e-01
1681641000,NaN,2.000e-01
1681641060,NaN,2.000e-01
1681641120,NaN,2.000e-01
1681641180,NaN,2.000e-01
1681641240,NaN,2.000e-01
1681641480,5.890e-01,NaN
1681641540,5.820e-01,NaN
1681641600,5.640e-01,NaN
1681641660,5.480e-01,NaN
1681641720,5.640e-01,NaN
1681641780,5.790e-01,NaN
1681641840,5.760e-01,NaN
1681641900,5.930e-01,NaN
1681642080,NaN,2.000e-01
1681642140,NaN,2.000e-01
1681642200,NaN,2.000e-01
1681642260,NaN,2.000e-01
1681642320,NaN,2.000e-01
1681642380,NaN,2.000e-01
1681642440,NaN,2.000e-01
1681642500,NaN,2.000e-01
1681642680,6.060e-01,NaN
1681642740,6.630e-01,NaN
1681642800,7.200e-01,NaN
1681642860,8.660e-01,NaN
1681642920,9.540e-01,NaN
1681642980,9.670e-01,NaN
1681643040,9.620e-01,NaN
1681643100,9.270e-01,NaN
1681643280,NaN,2.000e-01
1681643340,NaN,2.000e-01
1681643400,NaN,2.000e-01
1681643460,NaN,2.000e-01
1681643520,NaN,2.000e-01
1681643580,NaN,2.000e-01
1681643640,NaN,2.000e-01
1681643700,NaN,2.000e-01
1681643880,8.590e-01,NaN
1681643940,7.290e-01,NaN
1681644000,6.880e-01,NaN
1681644060,6.580e-01,NaN
1681644120,6.880e-01,NaN
1681644180,7.120e-01,NaN
1681644240,7.400e-01,NaN
1681644480,NaN,2.000e-01
1681644540,NaN,2.000e-01
1681644600,NaN,2.000e-01
1681644660,NaN,2.000e-01
1681644720,NaN,2.000e-01
1681644780,NaN,2.000e-01
1681644840,NaN,2.000e-01
1681644900,NaN,2.000e-01
1681645080,8.000e-01,NaN
1681645140,8.380e-01,NaN
1681645200,8.580e-01,NaN
1681645260,8.620e-01,NaN
1681645320,8.450e-01,NaN
1681645380,8.230e-01,NaN
1681645440,7.950e-01,NaN
1681645500,7.750e-01,NaN
1681645680,NaN,2.000e-01
1681645740,NaN,2.000e-01
1681645800,NaN,2.000e-01
1681645860,NaN,2.000e-01
1681645920,NaN,2.000e-01
1681645980,NaN,2.000e-01
1681646040,NaN,2.000e-01
1681646100,NaN,2.000e-01
1681646280,7.900e-01,NaN
1681646340,8.310e-01,NaN
1681646400,8.620e-01,NaN
1681646460,8.990e-01,NaN
1681646520,9.310e-01,NaN
1681646580,9.220e-01,NaN
1681646640,9.150e-01,NaN
1681646880,NaN,2.000e-01
1681646940,NaN,2.000e-01
1681647000,NaN,2.000e-01
1681647060,NaN,2.000e-01
1681647120,NaN,2.000e-01
1681647180,NaN,2.000e-01
1681647240,NaN,2.000e-01
1681647480,8.810e-01,NaN
1681647540,8.410e-01,NaN
1681647600,7.840e-01,NaN
1681647660,7.460e-01,NaN
1681647720,7.340e-01,NaN
1681647780,7.500e-01,NaN
1681648080,NaN,2.000e-01
1681648140,NaN,2.000e-01
1681648200,NaN,2.000e-01
1681648260,NaN,2.000e-01
1681648320,NaN,2.000e-01
1681648380,NaN,2.000e-01
1681648440,NaN,2.000e-01
1681648680,7.610e-01,NaN
1681648740,7.470e-01,NaN
1681648800,7.170e-01,NaN
1681648860,6.780e-01,NaN
1681648920,6.960e-01,NaN
1681648980,7.050e-01,NaN
1681649040,7.170e-01,NaN
1681649100,7.090e-01,NaN
1681649280,NaN,2.000e-01
1681649340,NaN,2.000e-01
1681649400,NaN,2.000e-01
1681649460,NaN,2.000e-01
1681649520,NaN,2.000e-01
1681649580,NaN,2.000e-01
1681649640,NaN,2.000e-01
1681649700,NaN,2.000e-01
1681649880,7.210e-01,NaN
1681649940,7.610e-01,NaN
1681650000,7.900e-01,NaN
1681650060,8.140e-01,NaN
1681650120,8.390e-01,NaN
1681650180,8.420e-01,NaN
1681650240,8.410e-01,NaN
1681650300,8.270e-01,NaN
1681650480,NaN,2.000e-01
1681650540,NaN,2.000e-01
1681650600,NaN,2.000e-01
1681650660,NaN,2.000e-01
1681650720,NaN,2.000e-01
1681650780,NaN,2.000e-01
1681650840,NaN,2.000e-01
1681651080,8.290e-01,NaN
1681651140,8.440e-01,NaN
1681651200,8.310e-01,NaN
1681651260,8.840e-01,NaN
1681651320,9.150e-01,NaN
1681651380,9.460e-01,NaN
1681651440,9.740e-01,NaN
1681651500,9.990e-01,NaN
1681651680,NaN,2.000e-01
1681651740,NaN,2.000e-01
1681651800,NaN,2.000e-01
1681651860,NaN,2.000e-01
1681651920,NaN,2.000e-01
1681651980,NaN,2.000e-01
1681652040,NaN,2.000e-01
1681652280,1.007e+00,NaN
1681652340,1.075e+00,NaN
1681652400,1.172e+00,NaN
1681652460,1.282e+00,NaN
1681652520,1.372e+00,NaN
1681652580,1.439e+00,NaN
1681652640,1.446e+00,NaN
1681652700,1.439e+00,NaN
1681652880,NaN,2.000e-01
1681652940,NaN,2.000e-01
1681653000,NaN,2.000e-01
1681653060,NaN,2.000e-01
1681653120,NaN,2.000e-01
1681653180,NaN,2.000e-01
1681653240,NaN,2.000e-01
1681653300,NaN,2.000e-01
1681653480,1.418e+00,NaN
1681653540,1.339e+00,NaN
1681653600,1.254e+00,NaN
1681653660,1.167e+00,NaN
1681653720,1.058e+00,NaN
1681653780,1.008e+00,NaN
1681653840,9.550e-01,NaN
1681653900,9.400e-01,NaN
1681654080,NaN,2.000e-01
1681654140,NaN,2.000e-01
1681654200,NaN,2.000e-01
1681654260,NaN,2.000e-01
1681654320,NaN,4.070e-01
1681654380,NaN,4.170e-01
1681654440,NaN,4.340e-01
1681654680,9.280e-01,NaN
1681654740,9.290e-01,NaN
1681654800,9.320e-01,NaN
1681654860,9.810e-01,NaN
1681654920,9.760e-01,NaN
1681654980,9.370e-01,NaN
1681655040,9.290e-01,NaN
1681655100,9.020e-01,NaN
1681655280,NaN,4.330e-01
1681655340,NaN,4.210e-01
1681655400,NaN,4.190e-01
1681655460,NaN,4.080e-01
1681655520,NaN,4.060e-01
1681655580,NaN,4.000e-01
1681655640,NaN,2.000e-01
1681655700,NaN,4.000e-01
1681655880,8.770e-01,NaN
1681655940,8.230e-01,NaN
1681656000,8.010e-01,NaN
1681656060,7.800e-01,NaN
1681656120,7.530e-01,NaN
1681656180,8.110e-01,NaN
1681656240,8.320e-01,NaN
1681656300,8.330e-01,NaN
1681656480,NaN,2.000e-01
1681656540,NaN,2.000e-01
1681656600,NaN,2.000e-01
1681656660,NaN,2.000e-01
1681656720,NaN,2.000e-01
1681656780,NaN,2.000e-01
1681656840,NaN,2.000e-01
1681656900,NaN,2.000e-01
1681657080,8.440e-01,NaN
1681657140,8.650e-01,NaN
1681657200,8.640e-01,NaN
1681657260,8.370e-01,NaN
1681657320,8.040e-01,NaN
1681657380,8.000e-01,NaN
1681657440,7.930e-01,NaN
1681657500,7.950e-01,NaN
1681657680,NaN,2.000e-01
1681657740,NaN,2.000e-01
1681657800,NaN,2.000e-01
1681657860,NaN,2.000e-01
1681657920,NaN,2.000e-01
1681657980,NaN,2.000e-01
1681658040,NaN,2.000e-01
1681658100,NaN,2.000e-01
1681658280,7.950e-01,NaN
1681658340,8.020e-01,NaN
1681658400,7.930e-01,NaN
1681658460,8.220e-01,NaN
1681658520,8.240e-01,NaN
1681658580,8.220e-01,NaN
1681658640,8.430e-01,NaN
1681658700,8.500e-01,NaN
1681658880,NaN,2.000e-01
1681658940,NaN,2.000e-01
1681659000,NaN,2.000e-01
1681659060,NaN,2.000e-01
1681659120,NaN,2.000e-01
1681659180,NaN,2.000e-01
1681659240,NaN,2.000e-01
1681659300,NaN,2.000e-01
1681659480,8.270e-01,NaN
1681659540,7.910e-01,NaN
1681659600,7.730e-01,NaN
1681659660,7.470e-01,NaN
1681659720,7.210e-01,NaN
1681659780,7.520e-01,NaN
1681659840,7.470e-01,NaN
1681659900,7.420e-01,NaN
1681660080,NaN,2.000e-01
1681660140,NaN,2.000e-01
1681660200,NaN,2.000e-01
1681660260,NaN,2.000e-01
1681660320,NaN,2.000e-01
1681660380,NaN,2.000e-01
1681660440,NaN,2.000e-01
1681660500,NaN,2.000e-01
1681660680,7.250e-01,NaN
1681660740,6.430e-01,NaN
1681660800,5.930e-01,NaN
1681660860,5.100e-01,NaN
1681660920,4.250e-01,NaN
1681660980,2.000e-01,NaN
1681661040,4.060e-01,NaN
1681661100,4.060e-01,NaN
1681661280,NaN,2.000e-01
1681661340,NaN,2.000e-01
1681661400,NaN,2.000e-01
1681661460,NaN,2.000e-01
1681661520,NaN,2.000e-01
1681661580,NaN,2.000e-01
1681661640,NaN,2.000e-01
1681661880,4.030e-01,NaN
1681661940,2.000e-01,NaN
1681662000,4.180e-01,NaN
1681662060,4.060e-01,NaN
1681662120,2.000e-01,NaN
1681662180,2.000e-01,NaN
1681662240,2.000e-01,NaN
1681662300,2.000e-01,NaN
1681662480,NaN,2.000e-01
1681662540,NaN,2.000e-01
1681662600,NaN,2.000e-01
1681662660,NaN,2.000e-01
1681662720,NaN,2.000e-01
1681662780,NaN,2.000e-01
1681662840,NaN,2.000e-01
1681663080,2.000e-01,NaN
1681663140,2.000e-01,NaN
1681663200,2.000e-01,NaN
1681663260,2.000e-01,NaN
1681663320,2.000e-01,NaN
1681663380,2.000e-01,NaN
1681663440,2.000e-01,NaN
1681663500,2.000e-01,NaN
1681663680,NaN,2.000e-01
1681663740,NaN,2.000e-01
1681663800,NaN,2.000e-01
1681663860,NaN,2.000e-01
1681663920,NaN,2.000e-01
1681663980,NaN,2.000e-01
1681664040,NaN,2.000e-01
1681664100,NaN,2.000e-01
1681664280,2.000e-01,NaN
1681664340,2.000e-01,NaN
1681664400,2.000e-01,NaN
1681664460,2.000e-01,NaN
1681664520,2.000e-01,NaN
1681664580,2.000e-01,NaN
1681664640,2.000e-01,NaN
1681664880,NaN,2.000e-01
1681664940,NaN,2.000e-01
1681665000,NaN,2.000e-01
1681665060,NaN,2.000e-01
1681665120,NaN,2.000e-01
1681665180,NaN,2.000e-01
1681665240,NaN,2.000e-01
1681665300,NaN,2.000e-01
1681665480,2.000e-01,NaN
1681665540,2.000e-01,NaN
1681665600,2.000e-01,NaN
1681665660,2.000e-01,NaN
1681665720,2.000e-01,NaN
1681665780,2.000e-01,NaN
1681665840,2.000e-01,NaN
1681665900,2.000e-01,NaN
1681666080,NaN,2.000e-01
1681666140,NaN,2.000e-01
1681666200,NaN,2.000e-01
1681666260,NaN,2.000e-01
1681666320,NaN,2.000e-01
1681666380,NaN,2.000e-01
1681666440,NaN,2.000e-01
1681666500,NaN,2.000e-01
1681666680,2.000e-01,NaN
1681666740,2.000e-01,NaN
1681666800,2.000e-01,NaN
1681666860,2.000e-01,NaN
1681666920,2.000e-01,NaN
1681666980,2.000e-01,NaN
1681667040,2.000e-01,NaN
1681667280,NaN,2.000e-01
1681667340,NaN,2.000e-01
1681667400,NaN,2.000e-01
1681667460,NaN,2.000e-01
1681667520,NaN,2.000e-01
1681667580,NaN,2.000e-01
1681667640,NaN,2.000e-01
1681667700,NaN,2.000e-01
1681667880,2.000e-01,NaN
1681667940,2.000e-01,NaN
1681668000,2.000e-01,NaN
1681668060,2.000e-01,NaN
1681668120,2.000e-01,NaN
1681668180,2.000e-01,NaN
1681668240,2.000e-01,NaN
1681668300,2.000e-01,NaN
1681668480,NaN,2.000e-01
1681668540,NaN,2.000e-01
1681668600,NaN,2.000e-01
1681668660,NaN,2.000e-01
1681668720,NaN,2.000e-01
1681668780,NaN,2.000e-01
1681668840,NaN,2.000e-01
1681668900,NaN,2.000e-01
1681669080,2.000e-01,NaN
1681669140,2.000e-01,NaN
1681669200,2.000e-01,NaN
1681669260,2.000e-01,NaN
1681669320,2.000e-01,NaN
1681669380,2.000e-01,NaN
1681669440,2.000e-01,NaN
1681669500,2.000e-01,NaN
1681669680,NaN,2.000e-01
1681669740,NaN,2.000e-01
1681669800,NaN,2.000e-01
1681669860,NaN,2.000e-01
1681669920,NaN,2.000e-01
1681669980,NaN,2.000e-01
1681670040,NaN,2.000e-01
1681670100,NaN,2.000e-01
1681670280,2.000e-01,NaN
