rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681674600,1.000e+00,3.501e+00,2.705e-02,9.461e-02
1681675200,1.092e+01,1.000e+00,2.952e-01,2.705e-02
1681675800,1.778e+01,1.000e+00,4.806e-01,2.705e-02
1681676400,1.307e+01,9.501e+00,3.533e-01,2.568e-01
1681677000,2.040e+00,3.500e+00,5.514e-02,9.461e-02
1681677600,6.507e+00,6.001e+00,1.759e-01,1.622e-01
1681678200,1.546e+01,6.501e+00,4.179e-01,1.757e-01
1681678800,8.707e+00,1.000e+00,2.353e-01,2.705e-02
1681679400,8.575e+00,8.001e+00,2.318e-01,2.162e-01
1681680000,2.006e+01,2.000e+00,5.421e-01,2.705e-02
1681680600,8.443e+00,6.501e+00,2.282e-01,1.757e-01
1681681200,1.078e+01,2.000e+00,2.912e-01,2.705e-02
1681681800,1.314e+01,5.501e+00,3.551e-01,1.487e-01
1681682400,1.218e+01,3.000e+00,3.292e-01,8.109e-02
1681683000,1.084e+01,1.000e+01,2.929e-01,2.703e-01
1681683600,6.507e+00,1.000e+00,1.759e-01,2.705e-02
1681684200,8.641e+00,6.501e+00,2.335e-01,1.757e-01
1681684800,6.507e+00,1.000e+00,1.759e-01,2.705e-02
1681685400,1.302e+01,7.001e+00,3.520e-01,1.892e-01
1681686000,1.312e+01,1.000e+00,3.547e-01,2.705e-02
1681686600,1.534e+01,6.001e+00,4.146e-01,1.622e-01
1681687200,1.313e+01,9.501e+00,3.547e-01,2.568e-01
1681687800,1.084e+01,3.501e+00,2.929e-01,9.461e-02
1681688400,1.084e+01,1.000e+00,2.929e-01,2.705e-02
1681689000,9.573e+00,4.501e+00,2.587e-01,1.216e-01
1681689600,1.293e+01,5.501e+00,3.495e-01,1.487e-01
1681690200,1.077e+01,5.501e+00,2.911e-01,1.487e-01
1681690800,1.764e+01,1.000e+00,4.766e-01,2.705e-02
1681691400,1.291e+01,1.050e+01,3.489e-01,2.838e-01
1681692000,1.537e+01,1.100e+01,4.154e-01,2.973e-01
1681692600,8.640e+00,1.000e+00,2.335e-01,2.705e-02
1681693200,4.240e+00,7.001e+00,1.146e-01,1.892e-01
1681693800,6.440e+00,6.001e+00,1.741e-01,1.622e-01
1681694400,2.005e+01,1.400e+01,5.418e-01,3.784e-01
1681695000,4.240e+00,1.000e+00,1.146e-01,2.705e-02
1681695600,1.091e+01,1.000e+01,2.949e-01,2.703e-01
1681696200,6.374e+00,1.000e+00,1.723e-01,2.705e-02
1681696800,8.574e+00,1.200e+01,2.317e-01,3.244e-01
1681697400,2.006e+01,1.000e+00,5.421e-01,2.705e-02
